日期,距离,用时,平均配速,消耗热量,平均心率,步频,步幅,当月次数,当月总跑量,当年次数,当年总跑量,备注,,,,,,,,,,,,,,,
2020/4/9,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/10,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/11,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/12,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/13,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/14,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/15,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/16,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/17,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/18,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/19,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/20,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/21,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/22,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/23,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/24,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/25,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/26,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/27,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/28,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/29,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/30,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/1,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/2,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/3,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/4,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/5,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/6,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/7,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/8,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/9,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/10,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/11,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/12,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/13,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/14,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/15,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/16,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/17,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/18,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/19,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/20,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/21,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/22,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/23,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/24,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/25,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/26,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/27,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/28,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/29,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/30,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/5/31,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/1,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/2,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/3,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/4,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/5,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/6,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/7,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/8,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/9,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/10,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/11,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/12,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/13,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/14,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/15,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/16,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/17,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/18,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/19,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/20,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/21,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/22,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/23,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/6/24,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
